chemical	aliases	names	flagged_for_removal
17754054	DB03801 (DrugBank)	lysine nz-carboxylic acid	0
2520	D00619 (KEGG) >> DB00661 (DrugBank 845)	verapamil	1
25195347	DB07045 (DrugBank)	DB07045	0
5591	DB00197 (DrugBank 845)	troglitazone	0
33032	D02280 (KEGG) >> D07539 (KEGG) >> DB00142 (DrugBank 845) >> DB02517 (DrugBank 845)	glutamic acid	1
2761494	DB02685 (DrugBank)	3-methylphenylalanine	0
441478	DB03156 (DrugBank)	beta-D-glucuronide	0
10062713	DB07592 (DrugBank)	DB07592	0
5289294	DB03691 (DrugBank)	WRR-112	0
10062714	DB07593 (DrugBank)	DB07593	0
46937062	DB07225 (DrugBank)	DB07225	0
1103	DB00127 (DrugBank) >> DB02564 (DrugBank)	spermine	0
5288147	DB04126 (DrugBank)	DB04126	0
9547943	DB08195 (DrugBank)	DB08195	0
5997	D00040 (KEGG)	cholesterol	1
5288259	DB01858 (DrugBank)	AC1NRB4Z	0
10324367	D08876 (KEGG) >> DB05665 (DrugBank) >> DB08873 (DrugBank)	boceprevir	0
23648296	DB03837 (DrugBank)	LHVS	0
9887557	DB08752 (DrugBank)	DB08752	0
5288616	DB07965 (DrugBank)	NVP-ABE854	0
448022	DB04523 (DrugBank)	AC1L9LIG	0
5288867	DB04234 (DrugBank)	AC1NRC7S	0
6106	D00030 (KEGG) >> DB00149 (DrugBank) >> DB01746 (DrugBank)	leucine	1
5289258	DB03573 (DrugBank)	WRR-99	0
6918710	DB07164 (DrugBank)	DB07164	0
5327077	DB04788 (DrugBank)	tagetitoxin	0
5288988	DB03456 (DrugBank)	DB03456	0
46937102	DB07878 (DrugBank)	DB07878	0
100714	DB02289 (DrugBank)	aminomalonic acid	1
46937081	DB07563 (DrugBank)	DB07563	0
2723698	DB03329 (DrugBank)	2-mercaptopyridine	1
36143	D05292 (KEGG) >> DB02601 (DrugBank) >> DB04291 (DrugBank) >> DB04308 (DrugBank)	oxfenicine	1
11464526	DB07967 (DrugBank)	DB07967	0
22850133	DB07219 (DrugBank)	DB07219	0
11840930	DB07520 (DrugBank)	DB07520	0
3332	D01675 (KEGG) >> DB07477 (DrugBank)	EMEC	0
11840970	DB08287 (DrugBank)	DB08287	0
23647361	DB07231 (DrugBank)	DB07231	0
11840934	DB07589 (DrugBank)	DB07589	0
23647358	DB07224 (DrugBank)	DB07224	0
11840933	DB07587 (DrugBank)	DB07587	0
5287438	DB01810 (DrugBank)	DB01810	0
6610318	DB07223 (DrugBank)	AC1O7M24	0
46937163	DB08611 (DrugBank)	DB08611	0
23647357	DB07160 (DrugBank)	DB07160	0
10184653	D09724 (KEGG) >> D09733 (KEGG) >> DB08916 (DrugBank)	afatinib	0
8333	DB03588 (DrugBank)	diphenylacetoxy	0
90334	DB02352 (DrugBank)	2-amino-3-benzyloxypyridine	0
46937176	DB08755 (DrugBank)	DB08755	0
10152654	D08955 (KEGG)	odanacatib	0
1001	DB04325 (DrugBank)	beta-phenylethylamine	1
5289424	DB01871 (DrugBank)	DB01871	0
3010818	D09012 (KEGG) >> DB05521 (DrugBank)	telaprevir	0
5287799	DB03767 (DrugBank)	DB03767	0
6420159	DB07839 (DrugBank)	AC1O4WKW	0
90624	DB03700 (DrugBank)	D-allothreonine	1
46937137	DB08270 (DrugBank)	DB08270	0
5287870	DB03984 (DrugBank)	DB03984	0
5289428	DB08594 (DrugBank)	DB08594	0
2733525	D00966 (KEGG) >> DB00675 (DrugBank 845)	tamoxifen	1
5281614	DB07795 (DrugBank)	fisetin	0
13804	D00057 (KEGG) >> D03528 (KEGG)	CDP-choline	0
16362	DB01100 (DrugBank 845)	pimozide	1
667639	DB08399 (DrugBank)	piceatannol	0
9931953	D10079 (KEGG) >> D10157 (KEGG)	rucaparib	0
23725625	D09730 (KEGG)	olaparib	0
42574	D03567 (KEGG)	closantel	0
5753	DB04652 (DrugBank)	corticosterone	0
24958200	D10140 (KEGG)	niraparib	0
5281040	D00529 (KEGG) >> DB00471 (DrugBank 845)	montelukast	1
5768	D02272 (KEGG) >> D08458 (KEGG)	quinidine	1
15991574	DB04527 (DrugBank)	beta-hydroxyasparagine	1
119373	D03968 (KEGG) >> DB04881 (DrugBank)	elacridar	0
5971	D02818 (KEGG)	AITC	0
4497	DB00393 (DrugBank 845)	nimodipine	1
16078	DB00470 (DrugBank 845)	omega-3 fatty acid	1
688859	DB04429 (DrugBank)	2-(4-hydroxyphenyl)chroman-4-one	0
439162	DB02515 (DrugBank)	L-glycerol-3-phosphate	1
447638	DB03864 (DrugBank)	D-1-thioglycerol	1
10635	D07456 (KEGG)	dihydrotestosterone	1
11493598	DB07794 (DrugBank)	ERK inhibitor II	0
208908	D04024 (KEGG) >> DB01259 (DrugBank 845) >> DB02584 (DrugBank 845)	lapatinib	0
439501	DB01092 (DrugBank 845)	ouabain	1
61503	DB03066 (DrugBank) >> DB04398 (DrugBank)	D-lactate	1
439202	DB01833 (DrugBank)	canavanine	0
92180	DB08768 (DrugBank)	N6-(2-isopentenyl)adenine	0
12560	DB00199 (DrugBank 845)	erythromycin	0
7618	D00215 (KEGG)	TEOA	0
65981	DB00912 (DrugBank 845)	repaglinide	1
44093	DB01197 (DrugBank 845)	captopril	1
64142	D00899 (KEGG) >> DB00220 (DrugBank 845) >> DB05251 (DrugBank)	nelfinavir	1
60934	D00429 (KEGG) >> D01160 (KEGG)	saquinavir	1
60795	D10516 (KEGG) >> DB01238 (DrugBank 845)	aripiprazole	1
55283	DB01167 (DrugBank 845)	itraconazole	0
439168	DB02263 (DrugBank)	triose phosphate	1
2406	D00802 (KEGG) >> D03135 (KEGG) >> DB04813 (DrugBank)	bithionol	1
5770	DB00206 (DrugBank 845)	reserpine	1
11957417	DB07471 (DrugBank)	DB07471	0
5880	DB02854 (DrugBank)	etiocholanolone	0
3598	DB00756 (DrugBank 845)	pre-op	1
6436219	DB08080 (DrugBank)	latrunculin B	0
5405	DB00342 (DrugBank 845)	terfenadine	1
4594	D01207 (KEGG) >> D05259 (KEGG) >> D05261 (KEGG) >> DB00338 (DrugBank 845)	omeprazole	0
2794	DB00845 (DrugBank 845)	clofazimine	1
11840920	DB04629 (DrugBank)	DB04629	0
1005	DB01819 (DrugBank)	phosphoenolpyruvate	1
4932	D00640 (KEGG) >> DB01182 (DrugBank 845)	propafenone	1
2247	DB00637 (DrugBank 845)	astemizole	1
5289284	DB04774 (DrugBank)	reidispongiolide A	0
23624255	D10126 (KEGG)	ganetespib	0
25058141	DB08442 (DrugBank)	DB08442	0
11534420	D09375 (KEGG) >> D09376 (KEGG)	retaspimycin HCl	0
5327095	DB07495 (DrugBank)	ver-49009	0
5289232	DB03137 (DrugBank)	DB03137	0
448976	DB04254 (DrugBank)	AC1L9MKN	0
448965	DB02754 (DrugBank)	AC1L9MK5	0
448969	DB02359 (DrugBank)	AC1L9MK9	0
448970	DB03504 (DrugBank)	AC1L9MKB	0
448974	DB04054 (DrugBank)	AC1L9MKJ	0
5327103	DB06956 (DrugBank)	DB06956	0
448968	DB08436 (DrugBank)	AC1L9MK7	0
5327104	DB04588 (DrugBank)	DB04588	0
5327091	DB07594 (DrugBank)	Cct018159	0
448972	DB02550 (DrugBank)	AC1L9MKF	0
10114	D00156 (KEGG)	glycyrrhetinic acid	0
448971	DB04505 (DrugBank)	AC1L9MKD	0
448973	DB03093 (DrugBank)	AC1L9MKH	0
1916698	DB08788 (DrugBank)	T5371453	0
11373270	DB08464 (DrugBank)	DB08464	0
19844	DB08711 (DrugBank)	methyl vanillate	0
17755582	DB07325 (DrugBank)	DB07325	0
5289227	DB03899 (DrugBank)	DB03899	0
72194	DB02103 (DrugBank)	2-chloro-2',3'-dideoxyadenosine	0
44585557	DB07317 (DrugBank)	DB07317	0
10095904	DB06957 (DrugBank)	DB06957	0
2374	DB04638 (DrugBank)	tBuBHQ	0
2662	DB00482 (DrugBank 845)	celecoxib	1
22382	DB07919 (DrugBank)	harmine	0
44129601	DB08789 (DrugBank)	DB08789	0
25244026	DB07604 (DrugBank)	cyclopiazonic acid	0
25138278	DB08066 (DrugBank)	DB08066	0
10364826	DB08025 (DrugBank)	DB08025	0
10403821	DB07502 (DrugBank)	Benzisoxazole, 6	0
3777900	DB08786 (DrugBank)	4-(2-methoxyethoxy)-6-methylpyrimidin-2-amine	0
25210273	DB06969 (DrugBank)	NVP-BEP800	0
441207	DB01396 (DrugBank 845)	digitoxin	1
2726820	DB08194 (DrugBank)	AC1MBK2E	0
2724385	D00298 (KEGG) >> DB00390 (DrugBank)	digoxin	1
11160307	DB08443 (DrugBank)	DB08443	0
24941253	DB07307 (DrugBank)	DB07307	0
1053	D00082 (KEGG) >> DB02142 (DrugBank)	pyridoxamine 5'-phosphate	0
5289228	DB03809 (DrugBank)	DB03809	0
9363	D04080 (KEGG)	ethamivan	0
13373715	DB07319 (DrugBank)	DB07319	0
46937132	DB08197 (DrugBank)	DB08197	0
5862	D00026 (KEGG) >> D02326 (KEGG) >> DB00151 (DrugBank) >> DB03201 (DrugBank) >> DB04443 (DrugBank)	cystein	1
11963551	DB08292 (DrugBank)	DB08292	0
11963552	DB08293 (DrugBank)	DB08293	0
11987878	DB08153 (DrugBank)	Microlactone, 15h	0
447721	DB01761 (DrugBank)	AC1L9L5S	0
24812721	DB08557 (DrugBank)	DB08557	0
16058668	DB06964 (DrugBank)	VER-50589	0
6914564	DB07877 (DrugBank)	AC1OCA7M	0
11597537	D10168 (KEGG)	CC-930	0
24832022	DB07324 (DrugBank)	DB07324	0
259994	DB02159 (DrugBank) >> DB03457 (DrugBank)	1,2-propanediol	1
24836816	DB07601 (DrugBank)	DB07601	0
24916788	DB08346 (DrugBank)	Microlactone, 15a	0
11840979	DB08465 (DrugBank)	DB08465	0
70807	DB03434 (DrugBank)	3-(N-morpholino)propanesulfonic acid	0
10019998	DB08432 (DrugBank)	Thymidine-phosphorothioate	0
44237094	DB08691 (DrugBank)	KH-CB19	0
1935	D02068 (KEGG) >> DB00382 (DrugBank 845)	tacrine	1
448991	DB02733 (DrugBank)	purvalanol	0
970	DB02637 (DrugBank)	oxaloacetate	1
449087	DB06944 (DrugBank)	AC1L9MPH	0
5289411	DB08572 (DrugBank)	DB08572	0
10200651	DB07833 (DrugBank)	biphenyl amide, 3	0
24856363	DB07835 (DrugBank)	DB07835	0
24755476	DB08352 (DrugBank)	DB08352	0
10224714	DB08463 (DrugBank)	CR8, (R)-Isomer	0
12106168	DB07829 (DrugBank)	SC-102	0
5289514	DB04797 (DrugBank)	CP-808844	0
42647299	DB07942 (DrugBank)	DB07942	0
42647297	DB08349 (DrugBank)	DB08349	0
447725	DB01948 (DrugBank)	AC1L9L60	0
6852209	DB08096 (DrugBank)	DB08096	0
19592	D05102 (KEGG)	nafenopin	0
10249180	DB08535 (DrugBank)	DB08535	0
1714	DB02984 (DrugBank)	AC1L1C2O	0
16220188	D08963 (KEGG)	pamapimod	0
5287728	DB04632 (DrugBank)	AC1NRA6Q	0
21078798	DB07834 (DrugBank)	biphenyl amide, 4	0
6540299	DB08095 (DrugBank)	AC1O70V3	0
9817550	DB08694 (DrugBank)	variolin B	0
11552706	D09639 (KEGG)	losmapimod	0
27933	DB01953 (DrugBank)	inhibitor of p38 kinase	0
9543517	DB08097 (DrugBank)	DB08097	0
10089048	DB07811 (DrugBank)	DB07811	0
9543437	DB07607 (DrugBank)	DB07607	0
7191	D01419 (KEGG)	benzyl nicotinate	0
447958	DB02915 (DrugBank)	AC1L9LFM	0
447956	DB02091 (DrugBank)	AC1L9LFI	0
5288238	DB02195 (DrugBank)	AC1NRB3B	0
9750	D07706 (KEGG) >> DB00155 (DrugBank)	citrulline	1
7245	DB03110 (DrugBank)	2-chlorophenol	1
16115004	DB07264 (DrugBank)	DB07264	0
10134493	DB06940 (DrugBank)	DB06940	0
5171	DB08522 (DrugBank)	AC1L1JR9	0
5172	DB03980 (DrugBank)	C14316	0
4630909	DB02873 (DrugBank)	DB02873	0
6852201	DB08309 (DrugBank)	AC1OA9X8	0
4369443	DB08395 (DrugBank)	DB08395	0
14868	D06218 (KEGG)	tribromsalan	0
5951796	DB07539 (DrugBank)	AC1OEF0I	0
3728	D00581 (KEGG)	iodoquinol	0
5326869	DB08730 (DrugBank)	DB08730	0
5326870	DB08092 (DrugBank)	DB08092	0
4564	DB02407 (DrugBank)	O(6)-cyclohexylmethylguanine	0
11427975	DB06991 (DrugBank)	DB06991	0
5326871	DB08093 (DrugBank)	3-(1-naphthylmethoxy)pyridin-2-amine	0
22049997	DB07941 (DrugBank)	PH-797804	0
5327066	DB08423 (DrugBank)	AC1NS1L1	0
23400214	DB08242 (DrugBank)	DB08242	0
5327067	DB08424 (DrugBank)	AC1NS1L4	0
23586146	DB07686 (DrugBank)	DB07686	0
9865587	DB07943 (DrugBank)	SD-06	0
446816	DB02277 (DrugBank)	AC1L9K4K	0
9871074	D09386 (KEGG)	talmapimod	0
4369379	DB01988 (DrugBank)	AC1N9ZZL	0
2763754	DB07852 (DrugBank)	3H-323S	0
2352168	DB07459 (DrugBank)	4-phenoxy-N-(pyridin-2-ylmethyl)benzamide	0
5326868	DB08091 (DrugBank)	DB08091	0
5960	D00013 (KEGG) >> D01598 (KEGG) >> D02026 (KEGG) >> D04948 (KEGG) >> DB00128 (DrugBank)	aspartic acid	1
23645578	DB07687 (DrugBank)	DB07687	0
11653652	DB08553 (DrugBank)	DB08553	0
5326866	DB08064 (DrugBank)	DB08064	0
1712	DB06844 (DrugBank)	AC1L1C2I	0
46937120	DB08068 (DrugBank)	DB08068	0
17753927	DB02899 (DrugBank)	n-carboxymethionine	0
25023710	DB07017 (DrugBank)	DB07017	0
887	D02309 (KEGG)	methanol	0
5430	DB00730 (DrugBank 845) >> DB08630 (DrugBank 845)	thiabendazole	1
5564	DB08604 (DrugBank 845)	triclosan	0
31703	D01275 (KEGG) >> DB00997 (DrugBank 845)	doxorubicin	1
5311035	D03187 (KEGG)	butaprost	0
33791	DB03302 (DrugBank)	phthalide	1
1750	DB04479 (DrugBank)	4-nitro-1H-inden-1-one	1
378	DB04214 (DrugBank)	p-nitrophenyl phosphate	1
9834298	DB03760 (DrugBank)	dihydrolipoic acid	0
23644575	DB08771 (DrugBank)	DB08771	0
1023	DB02212 (DrugBank) >> DB04160 (DrugBank)	pyrophosphate	1
11545694	DB07056 (DrugBank)	DB07056	0
10634	D00179 (KEGG)	androstenediol	0
24808495	DB06992 (DrugBank)	DB06992	0
210332	DB07340 (DrugBank)	reversine	0
657095	DB04463 (DrugBank)	AC1LCW0M	0
446337	DB01874 (DrugBank)	3-tropinone	0
636402	D01899 (KEGG) >> D07615 (KEGG)	Bio-Plex	0
14982	D02028 (KEGG) >> D02264 (KEGG) >> D04987 (KEGG)	glycyrrhizin	0
16105493	DB07310 (DrugBank)	DB07310	0
449237	DB02891 (DrugBank)	AC1L9MW5	1
24866443	DB07866 (DrugBank)	DB07866	0
25263223	DB07316 (DrugBank)	DB07316	0
16726072	DB07619 (DrugBank)	DB07619	0
223368	D04041 (KEGG) >> DB02187 (DrugBank)	equilin	1
91665	DB02756 (DrugBank)	pyroquilon	0
5962	D02278 (KEGG) >> D02279 (KEGG) >> D02304 (KEGG) >> DB00123 (DrugBank) >> DB03252 (DrugBank)	lysine	1
24812720	DB07049 (DrugBank)	DB07049	0
5994	DB00396 (DrugBank 845)	progesterone	1
24856362	DB07624 (DrugBank)	DB07624	0
5090	DB00533 (DrugBank 845)	rofecoxib	1
149790	DB07711 (DrugBank)	adenosine deaminase inhibitor	0
637516	DB04784 (DrugBank)	1-phenylethanol	1
11347535	D09640 (KEGG)	salinosporamide A	0
5326976	DB04719 (DrugBank)	CK2 inhibitor	0
1060	DB00119 (DrugBank 845)	pyruvic acid	1
25183872	D10130 (KEGG)	ixazomib	0
8076	DB02249 (DrugBank)	EGEE	1
444719	DB02151 (DrugBank)	Methionine phosphonate	1
6128	D00051 (KEGG) >> DB01536 (DrugBank) >> DB07386 (DrugBank)	4-androstene-3,17-dione	1
165196	DB03799 (DrugBank)	trifluoromethionine	1
24894158	DB07608 (DrugBank)	DB07608	0
961	D00001 (KEGG)	distilled water	0
447960	DB04407 (DrugBank)	AC1L9LFQ	0
3034010	DB01083 (DrugBank 845)	orlistat	0
21501	DB04534 (DrugBank)	5-nitroindazole	1
656917	DB04450 (DrugBank)	n-heptyl-beta-D-thioglucoside	0
12587	DB03993 (DrugBank)	isocaproate	1
13472	DB07373 (DrugBank)	1,4-androstadiene-3,17-dione	0
1123	D00047 (KEGG) >> DB01956 (DrugBank)	taurine	1
221493	DB02659 (DrugBank)	cholic acid	0
186	DB02897 (DrugBank)	acetyl phosphate	1
23982	D01137 (KEGG) >> D01645 (KEGG) >> DB00225 (DrugBank) >> DB00597 (DrugBank)	gadolinium	0
11992146	DB07728 (DrugBank)	Kinome_2487	0
44129603	DB08355 (DrugBank)	DB08355	0
17754220	DB02987 (DrugBank)	cysteine-s-acetamide	1
70931	DB02580 (DrugBank)	pentaglyme	0
16129582	DB08005 (DrugBank)	DB08005	0
10972974	DB04741 (DrugBank)	myxothiazol A	0
3034285	DB07401 (DrugBank)	azoxystrobin	0
5280961	DB01645 (DrugBank 845)	genistein	0
446845	DB07778 (DrugBank)	AC1L9K5S	0
447278	DB08180 (DrugBank)	3-azageranylgeranyl diphosphate	0
6852165	DB06831 (DrugBank)	Pik-39	0
126941	D00142 (KEGG) >> D02115 (KEGG) >> DB00563 (DrugBank)	methotrexate	0
5287739	DB07435 (DrugBank)	DB07435	0
622262	DB07073 (DrugBank)	DB07073	0
90263	DB04332 (DrugBank)	2,5,8,11-tetraoxatridecan-13-ol	0
79689	DB02050 (DrugBank)	polyoxyethylene (10	0
387442	DB04732 (DrugBank)	NSC-681231	0
5289085	DB08330 (DrugBank)	MOA-stilbene	0
9547935	DB07763 (DrugBank)	DB07763	0
239	D07561 (KEGG) >> DB03107 (DrugBank)	beta-alanine	1
6251	D00062 (KEGG) >> DB00742 (DrugBank)	mannitol	1
46937086	DB07652 (DrugBank)	DB07652	0
46937134	DB08237 (DrugBank)	DB08237	0
447766	DB07163 (DrugBank)	AC1L9L7G	0
9991833	DB08533 (DrugBank)	DB08533	0
5289321	DB03583 (DrugBank)	AC1NRD2K	0
24963033	DB07790 (DrugBank)	DB07790	0
10042950	DB08539 (DrugBank)	DB08539	0
447959	DB04518 (DrugBank)	AC1L9LFO	0
447955	DB03019 (DrugBank)	C8H5cl2N3S	1
5287845	DB07493 (DrugBank)	NSC717817	0
447653	DB07889 (DrugBank)	AC1L9L2W	0
9994066	DB08134 (DrugBank)	DB08134	0
24901723	DB07791 (DrugBank)	DB07791	0
447652	DB02538 (DrugBank)	AC1L9L2U	0
87031	DB08132 (DrugBank)	5-hydroxynaphthalene-1-sulfonamide	0
23586145	DB07685 (DrugBank)	DB07685	0
46937079	DB07529 (DrugBank)	DB07529	1
680935	DB08135 (DrugBank)	pyrazole anilide	0
2608	DB03307 (DrugBank)	Cdk2/5 inhibitor	0
11304412	DB07179 (DrugBank)	DB07179	0
160339	D03585 (KEGG)	dipalmitoylphosphatidylcholine	0
5327096	DB08677 (DrugBank)	AC1NS1N7	0
5327097	DB08673 (DrugBank)	DB08673	0
118458	DB02297 (DrugBank)	2-amino-6-chloropyrazine	1
45273683	DB07431 (DrugBank)	DB07431	0
5327131	DB04669 (DrugBank)	Ru(III) Triazolopyrimidine	0
21066379	DB06983 (DrugBank)	DB06983	0
10138993	DB07220 (DrugBank)	DB07220	0
5288016	DB07612 (DrugBank)	DB07612	0
21066087	DB08531 (DrugBank)	DB08531	0
5287990	DB01888 (DrugBank)	DB01888	0
5288222	DB03737 (DrugBank)	AC1NRB2B	0
5288527	DB02197 (DrugBank)	DB02197	0
449088	DB02647 (DrugBank)	n-(5-cyclopropyl-1h-pyrazol-3-yl)benzamide	0
21066096	DB08534 (DrugBank)	DB08534	0
448994	DB07054 (DrugBank)	AC1L9MLB	0
5288708	DB08122 (DrugBank)	DB08122	0
44629555	DB07065 (DrugBank)	DB07065	0
5288709	DB08123 (DrugBank)	DB08123	0
5288710	DB08124 (DrugBank)	DB08124	0
5288711	DB08125 (DrugBank)	DB08125	0
5287989	DB02963 (DrugBank)	C13H11ClN4O2S	0
5288712	DB08126 (DrugBank)	DB08126	0
24971313	DB08140 (DrugBank)	DB08140	0
24971312	DB08139 (DrugBank)	DB08139	0
5289179	DB04006 (DrugBank)	DB04006	0
44629554	DB08538 (DrugBank)	DB08538	0
5288017	DB07618 (DrugBank)	DB07618	0
5327130	DB07595 (DrugBank)	DB07595	0
11270500	DB07982 (DrugBank)	DB07982	0
16113377	DB07936 (DrugBank)	DB07936	0
445840	DB04186 (DrugBank)	AC1L9INL	0
9865515	D09357 (KEGG) >> D09641 (KEGG)	MGCD0103	0
65249	DB02340 (DrugBank)	N-acetylserine	1
10249182	DB08537 (DrugBank)	DB08537	0
24864079	DB08138 (DrugBank)	DB08138	0
10317619	DB08536 (DrugBank)	DB08536	0
24864078	DB08137 (DrugBank)	DB08137	0
46937158	DB08532 (DrugBank)	DB08532	0
3543	DB04288 (DrugBank)	AC1L1G68	0
445950	DB07751 (DrugBank)	AC1L9IU0	0
6914609	DB07379 (DrugBank)	DB07379	0
24864077	DB08136 (DrugBank)	DB08136	0
15942652	DB07024 (DrugBank)	DB07024	0
10339710	DB07210 (DrugBank)	DB07210	0
6950577	DB02387 (DrugBank) >> DB03552 (DrugBank)	m-tyrosine	0
9547884	DB04101 (DrugBank)	DB04101	0
9547890	DB08247 (DrugBank)	inhibitor of CDK2	0
314123	DB03490 (DrugBank)	NSC-230804	0
445940	DB03663 (DrugBank)	AC1L9IT9	0
24864082	DB08141 (DrugBank)	DB08141	0
5828196	DB07531 (DrugBank)	DB07531	0
967	D00055 (KEGG) >> D08304 (KEGG) >> DB02262 (DrugBank)	orotic acid	1
445967	DB02603 (DrugBank)	AC1L9IVC	0
9926933	DB08133 (DrugBank)	DB08133	0
445966	DB02898 (DrugBank)	AC1L9IV9	0
445958	DB07501 (DrugBank)	AC1L9IUO	0
977	D00003 (KEGG)	oxygen	0
445957	DB07504 (DrugBank)	AC1L9IUL	0
5288018	DB07622 (DrugBank)	DB07622	0
445953	DB07755 (DrugBank)	AC1L9IU9	0
24417	DB02216 (DrugBank)	S-methylcysteine	1
445952	DB07750 (DrugBank)	AC1L9IU6	0
445951	DB07761 (DrugBank)	AC1L9IU3	0
5494414	DB04662 (DrugBank)	olomoucine II	0
529	DB02389 (DrugBank) >> DB02726 (DrugBank)	phosphoglycolate	1
9552079	D01345 (KEGG) >> D07669 (KEGG) >> DB00878 (DrugBank 845)	chlorhexidine	1
6322	D01126 (KEGG) >> D02982 (KEGG) >> DB00125 (DrugBank) >> DB04027 (DrugBank)	arginine	1
16122633	DB07856 (DrugBank)	DB07856	0
776315	DB07407 (DrugBank)	5-(2-methoxyphenyl)-2-furoic acid	0
5333	DB00259 (DrugBank 845)	sulfonamide	1
4595	D00678 (KEGG) >> DB00904 (DrugBank 845)	ondansetron	0
193962	DB06414 (DrugBank) >> DB07191 (DrugBank 845)	etravirine	0
3447	D01672 (KEGG) >> D08004 (KEGG)	gabexate mesilate	0
6047	DB01235 (DrugBank 845)	levodopa	1
3926	D04733 (KEGG)	lidoflazine	0
6013	DB00624 (DrugBank 845)	testosterone	0
4189	D00882 (KEGG) >> DB01110 (DrugBank 845)	miconazole	1
21307	DB04657 (DrugBank)	carboxin	0
1587957	DB08393 (DrugBank)	2-[(5,6-diphenylfuro[2,3-d]pyrimidin-4-yl)amino]ethanol	0
16615	DB07669 (DrugBank)	2,3-dimethyl-1,4-naphthoquinone	0
24239	DB03100 (DrugBank)	6-nitroindazole	1
447280	DB04092 (DrugBank)	apstatin	0
443388	DB03541 (DrugBank)	10-propargyl-5,8-dideazafolic acid	0
5578	D06236 (KEGG) >> D08644 (KEGG) >> DB00440 (DrugBank 845) >> DB03125 (DrugBank)	trimethoprim	0
784	D00008 (KEGG)	hydrogen peroxide	0
54676868	DB04631 (DrugBank)	atpenin A5	0
60699	D02168 (KEGG) >> DB01030 (DrugBank 845)	topotecan	1
446308	DB02080 (DrugBank)	fragment of Triton-X100	0
446716	DB07490 (DrugBank)	AC1L9K0I	0
445715	DB02386 (DrugBank)	L-leucinephosphonic acid	0
23629645	DB07765 (DrugBank)	DB07765	0
10430	DB03750 (DrugBank)	isovalerate	1
5289457	DB03343 (DrugBank)	malate-like intermediate	1
4680	D02218 (KEGG) >> D07439 (KEGG) >> DB01113 (DrugBank 845) >> DB07725 (DrugBank 845)	papaverine	1
2723601	D06109 (KEGG) >> DB00352 (DrugBank 845)	6-thioguanine	1
3394	D02290 (KEGG) >> DB00712 (DrugBank 845)	flurbiprofen	0
15602982	DB07858 (DrugBank)	DB07858	0
8063	DB01919 (DrugBank)	pentanal	1
5961	D00015 (KEGG) >> DB00130 (DrugBank) >> DB02174 (DrugBank)	glutamine	1
449159	DB01644 (DrugBank)	AC1L9MSN	0
1535935	DB04048 (DrugBank)	DB04048	1
11175137	DB07859 (DrugBank)	AT7867	0
169148	DB02302 (DrugBank)	symmetric dimethylarginine	0
11505541	DB07393 (DrugBank)	DB07393	0
5881	D08409 (KEGG) >> DB01708 (DrugBank)	DHEA	0
16122642	DB08569 (DrugBank)	DB08569	0
5546	DB00384 (DrugBank 845)	triamterene	0
132862	D09018 (KEGG)	t-arginine	0
10708341	DB07714 (DrugBank)	DB07714	0
1549007	D02219 (KEGG) >> DB00857 (DrugBank 845)	terbinafine	1
1701	DB07347 (DrugBank)	AEBSF	1
974	DB03940 (DrugBank)	oxamate	1
67361	D00864 (KEGG) >> DB02731 (DrugBank)	thimerosal	0
2969	DB03600 (DrugBank) >> DB03838 (DrugBank)	decanoate	0
21158865	DB02240 (DrugBank)	DB02240	0
5327073	DB04664 (DrugBank)	Cymal-5	0
5327109	DB07947 (DrugBank)	DB07947	0
10172943	DB08073 (DrugBank)	A-443654	0
996	D00033 (KEGG) >> D01960 (KEGG) >> DB03255 (DrugBank)	phenol	1
72099	D10254 (KEGG)	S)-flurbiprofen	0
281	D09706 (KEGG)	flue gas	0
6914613	DB07107 (DrugBank)	DB07107	0
6914614	DB07204 (DrugBank)	DB07204	0
9543424	DB02895 (DrugBank)	DB02895	1
449014	DB03370 (DrugBank)	AC1L9MM7	0
449013	DB03220 (DrugBank)	Fr233623	0
134497	DB03660 (DrugBank)	p-iodophenylalanine	0
449015	DB07785 (DrugBank)	AC1L9MM9	0
5288600	DB03083 (DrugBank)	IC 261	0
10127622	D09666 (KEGG) >> D10024 (KEGG)	selumetinib	0
448903	DB07783 (DrugBank)	AC1L9MHD	0
448642	DB07458 (DrugBank)	AC1L9M6H	0
129236	DB03693 (DrugBank)	CKI-7	0
44187362	D10426 (KEGG) >> D10486 (KEGG)	pimasertib	0
16222096	D10405 (KEGG)	cobimetinib	0
10313	DB01924 (DrugBank)	benzohydroxamic acid	1
5311	DB02546 (DrugBank 845)	vorinostat	0
447546	DB02830 (DrugBank)	AC1L9KYC	0
447339	DB02616 (DrugBank)	AC1L9KQW	0
10150081	DB08208 (DrugBank)	DB08208	0
11707110	D10175 (KEGG) >> D10176 (KEGG) >> DB08911 (DrugBank)	trametinib	0
46937091	DB07786 (DrugBank)	DB07786	0
997	DB03884 (DrugBank)	phenylpyruvate	1
168092	DB02605 (DrugBank)	pentaethylene glycol monodecyl ether	0
712	D00017 (KEGG) >> D01494 (KEGG) >> DB03843 (DrugBank)	formalin	1
9826528	DB07101 (DrugBank 845)	PD 0325901	0
60849	D03906 (KEGG)	draflazine	0
12087505	DB07817 (DrugBank)	DB07817	0
107	DB02024 (DrugBank)	phenylpropionic acid	0
439693	D00155 (KEGG)	pentostatin	1
